Gear Slot,Essence Name,Modifies Skill,Short Effect
Legs,Pit of Ursus,Ground Stomp,"Smashes the ground to erect a ring of rocks, boosting your damage and reducing enemy damage inside; Ground Stomp Cooldown reduced by 7.2%."
Legs,Howler’s Lift,Leap,Leap damage increased by 19%.
Legs,Screaming Fury,Furious Charge,"Furious Charge goes to a location, knocking enemies into the air; max 2 charges. Furious Charge Damage +18.0%."
Legs,Tempo Change,Chained Spear,+1 max charge for Chained Spear; Chained Spear Cooldown reduced by 3.6%.
Legs,Metal o’ Mine,Leap,"After using Leap, your damage is increased by 19% for 4 seconds."
Legs,Indiscriminate Heat,Ground Stomp,"Also causes lava to erupt after a short delay, damaging and Stunning enemies. Ground Stomp Damage +18.0%."
Legs,Dauntless Temper,Ground Stomp,Calls on the power of an Ancient to appear and stomp periodically around you. Ground Stomp Damage +18.0%.
Legs,Swiftwing,Sprint,Sprint also increases movement speed of nearby allies; Sprint Cooldown reduced by 7.2%.
Legs,Shattered Ground,Ground Stomp,Produces an earthquake damaging enemies in the area but no longer Stuns them. Ground Stomp Damage +18.0%.
Legs,Haughty Behemoth,Leap,Leap now knocks enemies into the air when landing. Leap Cooldown -3.6%.
Legs,Flattener,Leap,Max charges of Leap +1; Leap Cooldown -3.6%.
Main Hand,The Hewer,Grab,"Grab now causes you to charge forward and seize the first enemy you hit, carrying them before leaping and slamming them down—damaging and Slowing nearby enemies. You’re immune to loss-of-control and knockback during the skill. Grab Damage +18.0%"
Main Hand,Borrowed Might,Cleave,Cleave periodically conjures a Spirit of the Ancient to cleave through nearby enemies. Cleave Damage +18.0%
Main Hand,Crumblestall,Grab,"Grab calls an Ancestral Spirit to hurl a giant mountain at a target location, damaging and Stunning enemies. Grab Damage +18.0%"
Main Hand,Pathraze,Whirlwind,"Whirlwind now lets you spin and charge forward, damaging all enemies in your path. Max 3 charges. Whirlwind Damage +18.0%"
Main Hand,Luring Club,Hammer of the Ancients,Hammer of the Ancients deals +66.5% damage vs. Stunned enemies.
Main Hand,Ragecaller,Hammer of the Ancients,"HotA becomes electrified, slowing enemies by 50% for 3.2s."
Main Hand,Svot’s Reach,Cleave,Cleave now strikes in a full circle around you. Cleave Damage +18.0%
Main Hand,Rending Bite,Lacerate,"Lacerate inflicts a Bleeding of 28,856 damage over 3s. Damage +90.0%"
Main Hand,Eager Maelstrom,Whirlwind,Whirlwind radius increased; Whirlwind movement speed decreased. Whirlwind Damage +18.0%
Main Hand,Lunatic Twin,Frenzy,"When Frenzy is fully stacked, each attack unleashes 9,792 damage to all enemies in front of you (0.4s cooldown). Damage +90.0%"
Main Hand,Fallow Field,Whirlwind,"Whirlwind consumes Life instead of Energy, letting you spin as long as you have HP. Whirlwind Damage +18.0%"
Main Hand,Axe of the Ray,Cleave,Cleave now hurls two whirling axes to damage enemies. Cleave Damage +18.0%
Main Hand,Ardent Fervor,Lacerate,"Lacerate’s Attack Speed +15% for 3.2s each time you take damage, stacking to +45%."
Main Hand,Strangle Wings,Grab,"Grab now targets an enemy and dashes toward them, seizing and continuing the dash—knocking back other foes. Stuns if you hit a wall. Grab Damage +18.0%"
Main Hand,Lion’s Mane,Demoralize,Demoralize also detonates DoTs on nearby enemies instantly. Demoralize Cooldown -3.6%
Main Hand,Decollater,Cleave,Cleave becomes a 3-attack sequence (Bleed + knockup) without multiple charges. Cleave Damage +18.0%
Main Hand,Frigid Grin,Cleave,"Cleave summons twin rime axes orbiting you, damaging and freezing Chilled enemies. Cleave Damage +18.0%"
Main Hand,Widespread Blame,Whirlwind,Whirlwind now shatters armor and gains significantly increased Attack Speed. Whirlwind Damage +18.0%
Main Hand,Selleina’s Iron,Leap,"Leap causes the ground to shake for 3s, dealing 22,752 total damage to enemies in the area. Damage +90.0%"
Main Hand,The Maddening,Frenzy,Movement Speed +15% while Frenzy is at max stacks. Frenzy Damage +9.0%
Main Hand,Shardbreaker,Cleave,"Cleave now causes you to Dash forward, slicing all enemies in your path. Cleave Damage +18.0%"
Main Hand,Riddlerue,Frenzy,"When Frenzy Crits, your Attack Speed is +50% for 3.2s."
Main Hand,Stonefall,Hammer of the Ancients,HotA Damage +19%
Main Hand,North Wind,Whirlwind,Whirlwind also inflicts a stacking Chill. Whirlwind Damage +18.0%
Main Hand,Bitterwind,Whirlwind,Whirlwind draws on the wind for increased damage without reducing your Movement Speed. Whirlwind Damage +18.0%
Main Hand,Lurker’s Last Chance,Cleave,"Cleave becomes channeled, repeatedly damaging all enemies in front of you. Cleave Damage +18.0%"
Off-Hand,Bergbreaker,Wrath of the Berserker,"Causes you to retaliate when attacked, dealing damage to nearby enemies. Damage +18.0%"
Off-Hand,Falling Thunder,Wrath of the Berserker,"Also enrages you when near a Bleeding enemy, increasing your damage by 28.5%."
Off-Hand,The Last Wail,Hammer of the Ancients,"HotA smashes the ground, leaving an unstable area that erupts for extra damage after a delay. Damage +18.0%"
Off-Hand,Clattersteel,Hammer of the Ancients,"Rains hammers from the sky at your location, damaging enemies within the area. Damage +18.0%"
Off-Hand,Virulent Fist,Cleave,"Enemies killed by Cleave explode, dealing 8,925 damage to nearby enemies. Damage +90.0%"
Off-Hand,Broken Soul,Wrath of the Berserker,WotB now increases Critical Hit Chance instead of Attack Speed. WotB Cooldownreduced by 7.2%.
Off-Hand,Paste and Powder,Hammer of the Ancients,Randomly drops hammers multiple times in the targeted area. Damage +18.0%
Off-Hand,Steel Lamprey,Chained Spear,Chained Spear marks enemies for 5s and heals you for 5% of damage caused to marked enemies.
Off-Hand,Razorgrip,Hammer of the Ancients,Can be charged for more range/damage; deals +50% vs. Stunned foes. Damage +18.0%
Off-Hand,Flesh Splitter,Cleave,Cleave damage increased by 19%.
Off-Hand,Sundered Legacy,Wrath of the Berserker,WotB now causes nearby enemies to Burn. WotB Damage +18.0%
Off-Hand,Peace and Quietus,Hammer of the Ancients,"HotA can be dropped at a targeted spot; when reactivated, you and the hammer rush together—gathering enemies in between. Damage +18.0%"
Off-Hand,Bonegyre,Hammer of the Ancients,"HotA now orbits you for several seconds, damaging enemies it passes through. Damage +18.0%"
Off-Hand,Flickertonne,Hammer of the Ancients,"Each of your other attacks charges HotA, increasing its damage/radius on use. Damage +18.0%"
Off-Hand,Dishonored Blade,Demoralize,Demoralize duration increased by 39%.
Off-Hand,Burden of Nothingness (Latest),Demoralize,"Also grants a Demoralizing Aura for 3s, reducing nearby enemies’ damage by 19%."
Off-Hand,Breaker’s Wheel,Hammer of the Ancients,"HotA creates a barrier of earth, preventing enemies from entering or exiting the strike zone. Damage +18.0%"
Off-Hand,Beggar’s Mallet,Hammer of the Ancients,"Throws a whirling hammer that returns to you, damaging enemies in its path. Damage +18.0%"
Off-Hand,The Forgotten,Hammer of the Ancients,Throws a giant hammer that knocks enemies away; picking it up reduces HotA’s remaining cooldown. Damage +18.0%
Off-Hand,The Remembered,Hammer of the Ancients,Summons a Spirit of the Ancients who stuns nearby enemies on arrival and fights alongside you. Damage +18.0%
Off-Hand,Oncoming Brutality,Frenzy,"Frenzy increases the damage you deal to that enemy by 6% for 3s, stacking up to 30%. Frenzy Damage +9.0%"
Off-Hand,The Startler,Hammer of the Ancients,"HotA strikes the ground multiple times, knocking enemies airborne. Movement speed is reduced while striking. Damage +18.0%"
Off-Hand,Skull Mill,Wrath of the Berserker,WotB becomes a brawler’s rage: your Primary Attacks are punches; the 3rd punch grabs an enemy and throws them forward for AoE damage. WotB Damage +18.0%
Off-Hand,Obin’s Many Fingers,Chained Spear,Chained Spear hurls 2 additional spears. Cooldown reduced by 3.6%.
